id;cer_number;cer_date;cer_sys_date;cer_created_by;cer_file_name;cer_service_applicant;cer_signing_person;cer_signing_person_position;cer_certificate_type;cer_check_box_values;cer_request_number;cer_request_date;cer_is_deactivated;cer_state;cer_has_obligation;cer_document_state
1;Chicken Towels Checking Account;connect;2021-03-05T06:53:45;Wallis and Futuna;Tools Home;circuit;connecting;User-friendly Investor 1080p;Plastic Handmade Cotton Salad Berkshire;primary;Kansas Forge;2021-03-05;false;vertical Paraguay killer;true;program Shoes
2;deposit compressing Forward;Handmade Metal Bacon Architect;2021-03-05T00:31:06;Functionality;Kuwaiti Dinar South Carolina;digital systems Car;Unbranded Steel Towels;Pants info-mediaries;Washington Ergonomic Steel Fish;Planner intuitive Web;AGP transmitting Cloned;2021-03-05;false;Lebanon;false;Analyst
3;Kentucky Awesome Metal Chair GB;grey European Unit of Account 9(E.U.A.-9) Borders;2021-03-04T20:26:39;Engineer invoice Gorgeous Wooden Pizza;architectures Intelligent iterate;Granite Administrator;Dominican Peso;JSON;moratorium withdrawal Rustic;Hawaii Plain Branding;Intuitive;2021-03-04;false;Small open architecture panel;true;Investment Account
4;Cook Islands;Granite Accountability enhance;2021-03-04T21:43:04;orchid;Valley Frozen;disintermediate Organized;THX synthesize input;action-items Implementation;1080p Wooden Interactions;parse Handmade Wooden Chair strategic;Unbranded Frozen Shoes Swedish Krona capacity;2021-03-04;true;Solomon Islands violet transmitting;true;Direct program
5;Arkansas Ergonomic background;paradigm object-oriented red;2021-03-04T21:01:52;Towels Buckinghamshire;Automated application;open system connecting Uzbekistan;circuit;enterprise Incredible Wooden Shoes interface;real-time back up Associate;invoice;rich Loop;2021-03-05;true;ivory auxiliary;true;Incredible Concrete Towels Small
6;engage purple invoice;Arkansas integrated;2021-03-04T21:07:30;context-sensitive;Agent;Division;Intelligent optimizing;methodology Credit Card Account streamline;Checking Account;dynamic;leverage Automotive compress;2021-03-05;true;Iceland Krona;false;Rustic Plastic Computer
7;Shirt Home Loan Account;payment gold;2021-03-04T18:03:48;aggregate Cotton;pink;JBOD primary;disintermediate;invoice;online Ball Concrete;Home Loan Account ADP cohesive;Ports withdrawal Minnesota;2021-03-05;false;copying Quality bricks-and-clicks;true;wireless Corner withdrawal
8;RAM throughput;Bacon American Samoa lavender;2021-03-04T15:06:52;New Mexico;Producer;Legacy Future Shoes;Chief;programming back-end;bricks-and-clicks Georgia;national system Customer;Intelligent Rubber Fish;2021-03-04;true;Seychelles 24/365 hacking;true;generate Investment Account
9;Checking Account;indexing;2021-03-05T07:19:36;Missouri Refined Metal Keyboard Auto Loan Account;Connecticut;Organic;transmit violet;array Cotton;Unbranded Public-key;Street Buckinghamshire;Mouse Handmade override;2021-03-05;true;redundant rich Tools;false;transmitting
10;Mobility Small synergy;Brand seamless;2021-03-04T18:40:27;Inverse;Berkshire;approach Pants;Cambridgeshire copying COM;embrace cross-platform Designer;Ergonomic Concrete Fish PNG Fantastic Steel Shirt;withdrawal;time-frame Fundamental Hat;2021-03-05;false;Intranet;true;Fiji Unbranded
